Date : 2021-03-24 17:24:47
Directory : c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client
Total : 110 files,  6129 codes, 173 comments, 843 blanks, all 7145 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\interceptors.ts               | TypeScript       |         30 |          9 |          7 |         46 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\servers.ts                    | TypeScript       |        121 |          1 |         19 |        141 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\types.ts                      | TypeScript       |          9 |          0 |          1 |         10 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\store\index.ts                        | TypeScript       |         21 |          3 |          6 |         30 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\store\reducer.ts                      | TypeScript       |         11 |          0 |          2 |         13 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\utils\config.ts                       | TypeScript       |        130 |          0 |          4 |        134 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\utils\index.ts                        | TypeScript       |        239 |         21 |         36 |        296 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\tsconfig.json                             | JSON             |         48 |          0 |          1 |         49 |
| Total                                                                                                                                          |                  |      6,129 |        173 |        843 |      7,145 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
