"filename", "language", "TypeScript", "JSON", "TypeScript React", "Less", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\index\types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\baseUrl.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 4, 2, 25
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\config.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\http.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 1, 9, 50
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\interceptors.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 9, 7, 46
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\servers.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 1, 19, 141
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\servers\types.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\store\index.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\store\reducer.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\utils\config.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 0, 0, 4, 134
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\utils\index.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 21, 36, 296
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\tsconfig.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 1757, 127, 2441, 1571, 19, 39, 135, 184, 851, 7124
